100,0.1,3.4609637384060474e-04
100,0.3,-7.7338460950477674e-07
100,0.5,-6.6273732881517489e-07
100,0.7,2.2055590727852620e-07
100,0.9,2.2317151356311630e-04
80,0.1,-1.2116363370277769e-06
80,0.3,-1.9696285170482349e-06
80,0.5,-2.3425767327584919e-06
80,0.7,-8.8285129764457893e-07
80,0.9,2.4681022911322200e-07
85,0.1,2.3883504985304312e-04
85,0.3,-1.7567583401030129e-06
85,0.5,-1.3308129640324209e-06
85,0.7,-5.1339762346294235e-07
85,0.9,-2.8542131355770607e-06
90,0.1,1.5319164872920762e-04
90,0.3,-1.5671575882178282e-06
90,0.5,-9.7530076043157304e-07
90,0.7,-2.3704087914270885e-07
90,0.9,1.5122973710322650e-04
95,0.1,2.0006669346882188e-04
95,0.3,-1.3998249420941369e-06
95,0.5,-7.7253484058056197e-07
95,0.7,-4.0176301084497454e-08
95,0.9,1.7985358529366716e-05
