100,0.1,1.4135446337172570e-05
100,0.3,-1.7396089044929913e-06
100,0.5,-6.3364495651101739e-07
100,0.7,7.1903153517737099e-07
80,0.1,-3.0010149326243633e-06
80,0.3,-1.9806602448612620e-06
80,0.5,-9.5237840631772491e-07
80,0.7,-8.1806530139515259e-07
85,0.1,-2.8999150493395880e-06
85,0.3,-1.8358120631540392e-06
85,0.5,-7.0736839614327638e-07
85,0.7,-5.0012953277324353e-07
90,0.1,-2.7633365821338098e-06
90,0.3,-1.7293635263873970e-06
90,0.5,-1.3317350381269753e-06
90,0.7,-2.4665005519079157e-07
95,0.1,-2.9183675676716883e-06
95,0.3,-1.6790142001310379e-06
95,0.5,-8.2604068718885543e-07
95,0.7,-2.3097818414365773e-08

